set,npts,k,QQ,xB,t,ReH_km15,ReE_km15,ReHt_km15,dvcs_km15,fit_ReH,efit_ReH_low,efit_ReH_high,fit_ReE,efit_ReE_low,efit_ReE_high,fit_ReHt,efit_ReHt_low,efit_ReHt_high,fit_dvcs,efit_dvcs_low,efit_dvcs_high,xmi_ReH,exmi_ReH,xmi_ReE,exmi_ReE,xmi_ReHt,exmi_ReHt,xmi_dvcs,exmi_dvcs,sys_ReH,sys_ReE,sys_ReHt,sys_dvcs
80,16,5.75,2.23,0.335,-0.2,-2.5994,2.1375,1.29845,0.0155378,-2.37206,3.22136,2.6301,10.9594,19.5094,1.8656,3.19634,7.35838,4.59434,0.00568437,0.00547944,0.0136089,-2.45037,2.63949,2.68578,6.11522,2.49463,3.56662,0.0133892,0.0119051,1.70141,2.86102,3.31287,0.00617976
81,15,5.75,2.23,0.335,-0.26,-2.59199,1.9901,1.10145,0.0135398,-1.24364,6.01032,6.01032,-6.31057,1.64983,18.2512,-4.40578,1.33947e-06,11.0145,0.0013284,0.0012439,0.0267954,-1.83382,0.364516,1.49881,4.20648,1.89142,0.967882,0.0134908,0.001524,0.806708,1.12816,1.96174,0.00307353
82,12,5.75,2.23,0.335,-0.34,-2.54557,1.81615,0.882424,0.0114816,-4.24113,5.14438,5.58802,10.8969,18.1615,2.77813e-06,5.28482,8.81452,0.00972582,0.0124617,0.0377012,0.0377012,-1.37332,0.357949,1.41016,2.9301,1.23776,0.85078,0.0125722,0.00100484,0.741361,3.56122,2.77293,0.00324914
83,13,5.75,2.23,0.335,-0.45,-2.44185,1.61191,0.644845,0.00939337,-2.57927,2.93775,3.31277,8.81213,15.2598,0.859318,-2.57926,0.000118811,6.44833,0.00666642,0.00497674,0.00968479,-2.28743,0.286969,-0.458603,2.20361,1.26144,0.879635,0.00980796,0.000661232,0.276181,4.07744,2.25211,0.00193414
84,4,5.75,2.77,0.333,-0.16,-2.59188,2.24506,1.45038,0.00865192,-15.5513,2.13163e-13,20.4936,-8.98023,2.07638e-11,22.4506,-5.80006,0.00146118,14.5023,0.122405,0.122352,0.0317221,0,0,0,0,0,0,0,0,1.7413,4.01084,4.13911,0.0704497
85,24,5.75,2.78,0.335,-0.2,-2.5994,2.1375,1.29845,0.00773743,-5.59506,1.18728,7.84978,12.6902,21.2402,0.134767,7.79065,12.9844,3.04847e-05,0.0122645,0.0121978,0.00395777,-2.48822,0.282185,3.73421,3.78464,2.80538,0.818866,0.00690141,0.000805054,1.12011,3.35848,1.89773,0.00218571
86,24,5.75,2.78,0.335,-0.26,-2.59199,1.9901,1.10145,0.00673502,-0.698156,3.70394,5.02185,4.5929,12.5533,7.3477,2.1629,6.56868,4.44578,0.00568767,0.00562818,0.0068458,-0.628885,0.341074,2.02111,3.90333,2.73905,0.894174,0.00612809,0.000721301,0.459166,3.68867,1.21205,0.000828104
87,24,5.75,2.78,0.335,-0.34,-2.54557,1.81615,0.882424,0.00570246,0.110876,6.12534,1.77523,7.8845,10.8446,10.8446,1.61224,0.226878,8.59737,0.00864318,0.00265375,0.00889222,1.02445,0.392752,2.20713,3.40831,1.55573,0.820212,0.00825806,0.000612005,0.521832,2.00913,1.53559,0.000918113
88,22,5.75,2.78,0.335,-0.45,-2.44185,1.61191,0.644845,0.0046547,1.54464,3.58426,4.13101,9.66594,16.1136,0.00551198,-2.57274,3.40934e-05,6.44841,0.00554072,0.00152582,0.00639227,1.67708,0.394249,1.35531,2.42529,1.13947,0.709566,0.00696091,0.000453794,0.38842,3.89733,1.1554,0.000414637
89,15,5.75,2.35,0.365,-0.2,-2.49712,2.1375,1.28247,0.0131867,-1.98335,3.06969,3.06969,2.10345,10.6535,10.7216,7.68675,12.8166,0.00808894,0.0274241,0.0273603,0.0166728,-4.75459,0.405326,1.94945,5.50801,0.43575,1.72411,0.0181614,0.00182823,1.16197,3.46527,2.75119,0.00310222
90,15,5.75,2.35,0.365,-0.26,-2.48531,1.9901,1.0976,0.0115961,-3.137,3.4487,5.08257,-7.73208,0.228321,19.6727,6.5856,10.976,1.11254e-06,0.0114607,0.0113642,0.0113287,-2.04903,0.298783,1.4745,3.94276,1.63906,0.967419,0.00848755,0.00103769,0.963133,10.0704,2.92066,0.00285197
